,start,end
incipient,1985-12-28 10:00:00,1985-12-28 18:00:00
intensification,1985-12-28 19:00:00,1985-12-29 22:00:00
mature,1985-12-29 23:00:00,1985-12-30 09:00:00
decay,1985-12-30 10:00:00,1985-12-31 23:00:00
