,start,end
incipient,1995-04-15 04:00:00,1995-04-15 06:00:00
decay,1995-04-15 07:00:00,1995-04-15 15:00:00
intensification,1995-04-15 16:00:00,1995-04-15 22:00:00
mature,1995-04-15 23:00:00,1995-04-16 01:00:00
decay 2,1995-04-16 02:00:00,1995-04-16 14:00:00
