,start,end
intensification,2020-03-07 02:00:00,2020-03-08 05:00:00
mature,2020-03-08 06:00:00,2020-03-08 12:00:00
decay,2020-03-08 13:00:00,2020-03-09 05:00:00
intensification 2,2020-03-09 06:00:00,2020-03-10 05:00:00
mature 2,2020-03-10 06:00:00,2020-03-10 15:00:00
decay 2,2020-03-10 16:00:00,2020-03-12 09:00:00
