,Ck,Ca,Ke,Ge
incipient,0.6207896029489213,0.620756449174602,221178.410844388,2.751387343264465
intensification,2.251850113660161,-0.029383726115405406,139166.77491020018,1.029835049171428
mature,-4.519055667362938,0.07280991795516589,226941.57192885765,1.363267573924166
decay,-12.712514465858193,1.8154571038500125,548989.3914838422,2.537522297987084
residual,-0.8420685019141012,1.6509498653831631,450403.07679468114,0.3170527022488163
