,start,end
intensification,1983-07-02 00:00:00,1983-07-03 22:00:00
intensification 2,1983-07-06 07:00:00,1983-07-08 00:00:00
mature,1983-07-03 11:00:00,1983-07-05 21:00:00
mature 2,1983-07-07 13:00:00,1983-07-09 19:00:00
decay,1983-07-05 10:00:00,1983-07-06 19:00:00
decay 2,1983-07-09 08:00:00,1983-07-11 01:00:00
