,Az,Ae,Kz,Ke,Cz,Ca,Ck,Ce,BAz,BAe,BKz,BKe,BΦZ,BΦE,Gz,Ge,Date,Hour,∂Az/∂t (finite diff.),∂Ae/∂t (finite diff.),∂Kz/∂t (finite diff.),∂Ke/∂t (finite diff.),RGz,RGe,RKz,RKe
0,610901.1742129623,114123.77528480998,3793963.379462734,173590.65270698277,-11.202694287137266,0.5509816336284079,2.301389606567077,4.266947323324955,-3.3642447866885647,3.2969039607797828,27.52662065980844,-0.18801732436497604,34.854796660002094,3.3367144165776894,-10.318291969478917,0.5650173777396706,2007-06-14,6,16.63223979144289,-1.8211955099776034,24.863229774506763,1.2548113631869489,9.344771924622595,-1.4021337810608387,6.237913795268508,-0.5227290292059532
1,970157.5537081286,74785.95226929375,4331009.14259208,200694.57815182087,-12.9323305413445,0.2603495383486071,-0.6391752294577083,1.6496585643725834,-0.7690786111181838,2.412483108263023,26.204132227202827,3.2723512857214176,11.554928967362772,0.8608923145710918,-6.972928406194516,-0.348736951204115,2007-06-14,12,32.27892033000822,-1.697405225148062,16.148738882384215,2.841903196352828,20.37601793813051,-2.7205793073871085,3.5161124259835965,-2.719281883198881
2,1308125.8533411399,77459.82242161184,4142776.139322233,234975.76174820386,-2.297351037648486,1.0506465925710922,-3.1972311785929777,0.034122862192127346,9.04937723158411,3.858224468580002,-0.7412238722638563,-4.680468350947817,33.10700626967109,4.9239761549077175,-2.6270526846144744,-0.3052386964936331,2007-06-14,18,14.590138330703184,3.614404683524373,17.753049648877457,2.500669484275252,4.294056654041679,-1.2603435154345934,23.988855737382778,3.949783794437964
3,1461977.333169091,197469.68902055707,4929071.631744504,288876.0476002947,-4.637568236883978,0.4455204540004985,-3.199664576577608,2.7186826055815674,13.21615322741271,8.526203992488922,1.1631441985167656,-0.945167189121539,34.369684126149764,4.592137608560031,-18.54733535960092,-0.08067005867373798,2007-06-15,0,-5.276386945525705,1.2078940871464134,11.82299131625448,0.6493791156597638,-22.684587955821897,-5.045147753761439,18.497079931199302,-4.323800877377872
4,1122951.934077562,119402.15230988275,4513918.586822435,257972.80341546613,-8.079604152406706,1.6168642609178803,-2.779127259346568,1.272412628475536,7.8556285033733655,4.472581710399598,-6.310706554940481,-5.562475259674425,47.54336240897996,13.590348836449998,-18.489167303163057,-0.3316697378124557,2007-06-15,6,-6.046772061968676,-2.738702489266424,-23.225771800549772,-1.5489216494818423,-20.365140456830865,-7.555735832108366,-6.0563338338560175,-0.037986277629521226
5,1194373.9955127805,99912.31413942874,4047396.37015069,250633.02830729118,27.751970766807712,-0.027592983927989645,-3.8783642647638703,1.7098523998937074,3.11246895742802,6.333549723184196,-18.40663716524381,-10.591071801327333,35.97368923510594,10.616811893426028,18.274919068527836,0.09986095114475214,2007-06-15,12,-6.392533725616713,0.2916468925505449,-15.828463353671356,3.261194508179912,18.21937509983499,-4.304457446811954,-21.29543269047139,8.264049644849667
6,888473.9503808883,126882.37518938746,3895789.589696493,384412.3848019601,-0.5814911519115703,1.5499401656409793,-1.9386799197896323,7.468930162592058,-2.6311974677170533,7.024815512406686,-21.576493402776414,-11.11154205432078,78.23519978180258,10.423752555084247,-8.492794622762302,3.3949745747121245,2007-06-15,18,-6.880358675781288,0.0017446944044490764,-10.123718499461592,4.513841633149231,-3.2807121943348254,-1.1040808210511583,13.972945975016025,6.217773605088321
7,904072.8061840239,103649.0607968192,3671624.311086512,424187.8379871844,19.911619437936263,0.6845602956113169,-4.476041958943353,5.818917007642167,2.111508783870716,4.969311593842521,-11.490866858045722,-17.835937050837998,110.52319535271529,9.867721452069008,9.009031614875402,2.796308415813828,2007-06-16,0,-6.507737123323499,0.11654887645469925,-6.177062560377974,2.314062250065234,11.976933826353365,0.28159399464302837,-10.121773181325162,9.855040334317714
8,655353.4496452371,129354.06260891928,3665287.7326977123,469083.75443415635,6.89658946893898,1.2756207859070197,-7.1704533121168765,6.401001330438707,-4.836100298659607,5.6550096358074144,-29.201354611979518,-2.3246906526570172,179.90687362117936,9.099263477062127,2.1689227128279516,2.5826984116566067,2007-06-16,6,-4.387017111653101,0.38772228510028073,-2.129264976497758,0.8166749884937681,8.621293441852504,-0.14190680617544693,27.34595347865966,-10.430089001404799
9,710315.4068611296,116446.405768584,3652869.349356218,461978.4066426215,2.556194825553953,0.8056540004902135,-7.2584390891928345,4.293043273534554,-2.2018441694806894,4.627875844588138,-6.717631696454392,-15.84658655046287,188.04966180974267,9.547032406849624,-0.45271902962954813,0.9399103091666433,2007-06-16,12,-4.680048692902357,-0.6562945503707959,10.918061608583756,1.3742492767388919,0.8836443026224987,-1.7967811219145928,22.337937568677027,5.669353464474373
