,start,end
decay,2002-03-30 13:00:00,2002-03-30 20:00:00
intensification,2002-03-30 21:00:00,2002-03-31 03:00:00
mature,2002-03-31 04:00:00,2002-03-31 08:00:00
decay 2,2002-03-31 09:00:00,2002-04-01 08:00:00
