,start,end
incipient,2016-10-29 15:00:00,2016-10-29 17:00:00
intensification,2016-10-29 18:00:00,2016-10-29 23:00:00
mature,2016-10-30 00:00:00,2016-10-30 01:00:00
decay,2016-10-30 02:00:00,2016-10-30 08:00:00
residual,2016-10-30 09:00:00,2016-10-30 20:00:00
