,Type of System,Total Count,Percentage
4,"incipient, intensification, mature, decay",4925,62.168644281747035
5,"incipient, intensification, mature, decay, intensification 2, mature 2, decay 2",568,7.16990658924514
3,"incipient, decay, intensification, mature, decay 2",539,6.803837414794243
7,"intensification, mature, decay",512,6.463014390305478
8,"intensification, mature, decay, intensification 2, mature 2, decay 2",443,5.592022216611967
1,"decay, intensification, mature, decay 2",320,4.039383993940924
0,decay,118,1.4895228477657156
6,intensification,95,1.199192123201212
2,"incipient, decay",83,1.047715223428427
