,Type of System,Total Count,Percentage
3,"incipient, intensification, mature, decay",5023,62.51400124455508
4,"incipient, intensification, mature, decay, intensification 2, mature 2, decay 2",562,6.994399502177971
6,"intensification, mature, decay",524,6.521468574984443
2,"incipient, decay, intensification, mature, decay 2",508,6.322339763534536
7,"intensification, mature, decay, intensification 2, mature 2, decay 2",450,5.600497822028625
1,"decay, intensification, mature, decay 2",312,3.88301182327318
0,decay,135,1.6801493466085875
5,intensification,99,1.2321095208462975
