,Type of System,Total Count,Percentage
3,"incipient, intensification, mature, decay",19778,62.31057622633187
4,"incipient, intensification, mature, decay, intensification 2, mature 2, decay 2",2242,7.063419551998992
6,"intensification, mature, decay",2131,6.713714123688605
2,"incipient, decay, intensification, mature, decay 2",2070,6.521533663085599
7,"intensification, mature, decay, intensification 2, mature 2, decay 2",1771,5.579534356195457
1,"decay, intensification, mature, decay 2",1211,3.8152547178727834
0,decay,531,1.6729151570523928
5,intensification,383,1.2066412526385433
