,Type of System,Total Count,Percentage
2,"incipient, intensification, mature, decay",2190,69.96805111821087
3,"incipient, intensification, mature, decay, intensification 2, mature 2, decay 2",188,6.006389776357827
5,"intensification, mature, decay",186,5.942492012779553
6,"intensification, mature, decay, intensification 2, mature 2, decay 2",128,4.0894568690095845
4,intensification,106,3.386581469648562
1,"incipient, decay, intensification, mature, decay 2",88,2.8115015974440896
0,"decay, intensification, mature, decay 2",68,2.1725239616613417
