,Type of System,Total Count,Percentage
4,"incipient, intensification, mature, decay",684,65.51724137931035
5,"incipient, intensification, mature, decay, intensification 2, mature 2, decay 2",65,6.226053639846743
7,"intensification, mature, decay",63,6.0344827586206895
3,"incipient, decay, intensification, mature, decay 2",50,4.789272030651341
6,intensification,38,3.6398467432950192
8,"intensification, mature, decay, intensification 2, mature 2, decay 2",34,3.256704980842912
2,"decay, intensification, mature, decay 2",32,3.065134099616858
0,decay,22,2.10727969348659
1,"decay, intensification",13,1.2452107279693485
