,Type of System,Total Count,Percentage
1,"incipient, intensification, mature, decay",167,15.996168582375478
2,"incipient, intensification, mature, decay, intensification 2, mature 2, decay 2",24,2.2988505747126435
0,"incipient, decay, intensification, mature, decay 2",12,1.1494252873563218
3,"intensification, mature, decay",11,1.053639846743295
