Type of System,Total Count,Percentage
"incipient, decay, intensification, mature, decay 2, residual",176,0.5544878863299834
"incipient, intensification, mature, decay",17484,55.0833307079172
"incipient, decay",295,0.9293973094735515
"incipient, intensification, mature, decay, residual",2294,7.2272455184146684
"incipient, decay, intensification, mature, decay 2",2070,6.521533663085599
"incipient, intensification, mature, decay, intensification 2, mature 2, decay 2",2242,7.063419551998992
"intensification, mature, decay, intensification 2, mature 2, decay 2",1771,5.579534356195457
"intensification, mature, decay",1549,4.880123499574682
decay,531,1.6729151570523928
"decay, intensification, mature, decay 2",1211,3.8152547178727825
"decay, intensification, residual, intensification 2",9,0.02835449418732869
"intensification, mature, decay, residual",582,1.8335906241139222
"incipient, intensification, decay, intensification 2, mature, decay 2",62,0.19533095995715322
"incipient, intensification, mature, decay, intensification 2, mature 2, decay 2, residual",54,0.17012696512397216
"decay, residual",23,0.07246148514539555
"decay, intensification",232,0.7309158501622507
"decay, intensification, mature, decay 2, residual",159,0.5009293973094736
"incipient, decay, intensification",98,0.30874893670646797
intensification,383,1.2066412526385433
"incipient, decay, intensification, decay 2",11,0.03465549289562396
"intensification, residual",109,0.34340442960209194
"intensification, mature, decay, intensification 2, mature 2, decay 2, residual",79,0.24888944897766296
"decay, intensification, residual",57,0.17957846318641504
"decay, intensification, mature, decay 2, intensification 2, mature 2",58,0.18272896254056267
"incipient, decay, intensification, residual",31,0.09766547997857661
"incipient, decay, intensification, mature, decay 2, intensification 2, mature 2",38,0.11971897545761004
"incipient, intensification",13,0.04095649160391922
"incipient, intensification, decay, intensification 2",15,0.04725749031221448
"incipient, decay, residual",15,0.04725749031221448
"decay, intensification, decay 2",16,0.050407989666362125
"intensification, incipient, decay",27,0.08506348256198608
"intensification, incipient, decay, intensification 2, residual",2,0.006300998708295266
"intensification, decay",3,0.009451498062442897
"incipient, intensification, residual",6,0.018902996124885794
"incipient, intensification, decay, intensification 2, mature, decay 2, residual",6,0.018902996124885794
"incipient, decay, intensification, incipient 2, decay 2",4,0.012601997416590531
"incipient, decay, intensification, decay 2, intensification 2",3,0.009451498062442897
"incipient, intensification, decay, intensification 2, decay 2",2,0.006300998708295266
"incipient, decay, incipient 2, intensification, mature, decay 2",4,0.012601997416590531
"incipient, decay, intensification, residual, intensification 2",1,0.003150499354147633
"intensification, incipient, decay, residual",4,0.012601997416590531
"decay, intensification, decay 2, intensification 2",2,0.006300998708295266
"intensification, mature, decay, intensification 2, decay 2, mature 2",1,0.003150499354147633
"incipient, intensification, incipient 2, decay, intensification 2, mature, decay 2",3,0.009451498062442897
"incipient, decay, intensification, decay 2, intensification 2, mature",1,0.003150499354147633
"incipient, intensification, decay, intensification 2, residual",3,0.009451498062442897
"decay, residual, intensification",1,0.003150499354147633
"decay, intensification, incipient, decay 2",1,0.003150499354147633
