Type of System,Count
"intensification, mature, decay",0
"intensification, mature, decay, intensification 2, mature 2, decay 2",0
"incipient, intensification, decay",0
"intensification, mature",0
intensification,0
"intensification, incipient",0
"incipient, intensification, mature, decay",0
"decay, intensification",0
decay,0
"intensification, mature, decay, incipient",0
"intensification, decay",0
"intensification, decay, intensification 2",0
"decay, incipient, decay 2",0
"intensification, mature, incipient, intensification 2, mature 2, decay",0
"intensification, mature, decay, intensification 2, decay 2",0
"intensification, decay, intensification 2, decay 2",0
"mature, decay",0
"intensification, mature, incipient",0
"incipient, decay, intensification",0
"decay, intensification, decay 2",0
"incipient, decay",0
"intensification, mature, intensification 2",0
"intensification, mature, decay, incipient, intensification 2, mature 2, decay 2",0
"incipient, intensification",0
"intensification, mature, intensification 2, mature 2",0
"intensification, decay, incipient",0
"intensification, decay, intensification 2, mature, decay 2",0
"intensification, incipient, decay, incipient 2, decay 2",0
"decay, intensification, decay 2, intensification 2",0
"intensification, incipient, intensification 2, mature",0
"decay, intensification, incipient, intensification 2, decay 2",0
"intensification, incipient, intensification 2, mature, decay",0
"intensification, incipient, decay",0
"mature, decay, intensification, decay 2",0
"intensification, decay, incipient, decay 2",0
"intensification, mature, intensification 2, residual 2",0
"incipient, intensification, mature",0
,0
"intensification, mature, incipient, mature 2, decay",0
"incipient, mature, decay",0
"intensification, mature, intensification 2, mature 2, decay",0
"intensification, decay, mature, decay 2",0
"incipient, decay, intensification, decay 2",0
"incipient, intensification, mature, decay, intensification 2, mature 2, decay 2",0
"intensification, incipient, mature, decay",0
"incipient, decay, incipient 2, decay 2",0
"intensification, incipient, intensification 2",0
"decay, intensification, mature, decay 2",0
