time;vor42
2016-02-08 12:00:00;-1.68854e-05
2016-02-08 13:00:00;-1.630288e-05
2016-02-08 14:00:00;-1.528505e-05
2016-02-08 15:00:00;-1.5625170000000002e-05
2016-02-08 16:00:00;-1.540641e-05
2016-02-08 17:00:00;-1.659285e-05
2016-02-08 18:00:00;-1.5553790000000003e-05
2016-02-08 19:00:00;-1.568003e-05
2016-02-08 20:00:00;-1.5689880000000002e-05
2016-02-08 21:00:00;-1.6440220000000004e-05
2016-02-08 22:00:00;-1.817737e-05
2016-02-08 23:00:00;-1.9756390000000002e-05
2016-02-09 00:00:00;-2.1157430000000004e-05
2016-02-09 01:00:00;-2.2686890000000004e-05
2016-02-09 02:00:00;-2.5615760000000004e-05
2016-02-09 03:00:00;-2.8220120000000002e-05
2016-02-09 04:00:00;-3.094354e-05
2016-02-09 05:00:00;-3.5471840000000004e-05
2016-02-09 06:00:00;-3.8656580000000004e-05
2016-02-09 07:00:00;-4.1161620000000004e-05
2016-02-09 08:00:00;-4.583575e-05
2016-02-09 09:00:00;-4.7548760000000005e-05
2016-02-09 10:00:00;-5.305185e-05
2016-02-09 11:00:00;-5.5791610000000004e-05
2016-02-09 12:00:00;-5.976308000000001e-05
2016-02-09 13:00:00;-6.134082000000001e-05
2016-02-09 14:00:00;-6.272563000000001e-05
2016-02-09 15:00:00;-6.300521e-05
2016-02-09 16:00:00;-6.544250000000001e-05
2016-02-09 17:00:00;-6.651888e-05
2016-02-09 18:00:00;-6.732787000000001e-05
2016-02-09 19:00:00;-6.794199000000001e-05
2016-02-09 20:00:00;-6.978849000000001e-05
2016-02-09 21:00:00;-7.148596000000001e-05
2016-02-09 22:00:00;-7.395923e-05
2016-02-09 23:00:00;-7.708532000000001e-05
2016-02-10 00:00:00;-7.936768000000001e-05
2016-02-10 01:00:00;-8.244952e-05
2016-02-10 02:00:00;-8.273158000000002e-05
2016-02-10 03:00:00;-8.444994e-05
2016-02-10 04:00:00;-8.465343000000002e-05
2016-02-10 05:00:00;-8.512902e-05
2016-02-10 06:00:00;-8.505412000000001e-05
2016-02-10 07:00:00;-8.342989e-05
2016-02-10 08:00:00;-8.402653000000002e-05
2016-02-10 09:00:00;-8.448826000000001e-05
2016-02-10 10:00:00;-8.447477e-05
2016-02-10 11:00:00;-8.513423e-05
2016-02-10 12:00:00;-8.547329e-05
2016-02-10 13:00:00;-8.545983e-05
2016-02-10 14:00:00;-8.575962e-05
2016-02-10 15:00:00;-8.601760000000001e-05
2016-02-10 16:00:00;-8.588616000000001e-05
2016-02-10 17:00:00;-8.925123e-05
2016-02-10 18:00:00;-8.97588e-05
2016-02-10 19:00:00;-9.082977000000001e-05
2016-02-10 20:00:00;-9.213828e-05
2016-02-10 21:00:00;-9.331806000000001e-05
2016-02-10 22:00:00;-9.355525000000001e-05
2016-02-10 23:00:00;-9.415554e-05
2016-02-11 00:00:00;-9.498147e-05
2016-02-11 01:00:00;-9.514229000000001e-05
2016-02-11 02:00:00;-9.560326e-05
2016-02-11 03:00:00;-9.585032000000001e-05
2016-02-11 04:00:00;-9.534679000000002e-05
2016-02-11 05:00:00;-9.906487e-05
2016-02-11 06:00:00;-9.865873000000001e-05
2016-02-11 07:00:00;-9.836051000000001e-05
2016-02-11 08:00:00;-9.688391e-05
2016-02-11 09:00:00;-9.472464000000001e-05
2016-02-11 10:00:00;-9.248521000000001e-05
2016-02-11 11:00:00;-8.985904e-05
2016-02-11 12:00:00;-8.622648e-05
2016-02-11 13:00:00;-8.240805e-05
2016-02-11 14:00:00;-7.89337e-05
2016-02-11 15:00:00;-7.662762e-05
2016-02-11 16:00:00;-7.461768000000001e-05
2016-02-11 17:00:00;-7.517244000000001e-05
2016-02-11 18:00:00;-7.432921000000001e-05
2016-02-11 19:00:00;-7.443582e-05
2016-02-11 20:00:00;-7.491207000000001e-05
2016-02-11 21:00:00;-7.530066e-05
2016-02-11 22:00:00;-7.508958e-05
2016-02-11 23:00:00;-7.607246e-05
2016-02-12 00:00:00;-7.652177000000001e-05
2016-02-12 01:00:00;-7.812346e-05
2016-02-12 02:00:00;-7.947613e-05
2016-02-12 03:00:00;-8.072886000000001e-05
2016-02-12 04:00:00;-8.187829000000001e-05
2016-02-12 05:00:00;-8.266312e-05
2016-02-12 06:00:00;-8.394161000000002e-05
2016-02-12 07:00:00;-8.491129000000002e-05
2016-02-12 08:00:00;-8.534944e-05
2016-02-12 09:00:00;-8.426102000000001e-05
2016-02-12 10:00:00;-8.343456e-05
2016-02-12 11:00:00;-8.042416e-05
2016-02-12 12:00:00;-7.92425e-05
2016-02-12 13:00:00;-7.782865e-05
2016-02-12 14:00:00;-7.634740000000001e-05
2016-02-12 15:00:00;-7.551162e-05
2016-02-12 16:00:00;-7.480438000000001e-05
2016-02-12 17:00:00;-7.476952e-05
2016-02-12 18:00:00;-7.411282e-05
2016-02-12 19:00:00;-7.348621000000001e-05
2016-02-12 20:00:00;-7.243435e-05
2016-02-12 21:00:00;-7.099951000000001e-05
2016-02-12 22:00:00;-6.93598e-05
2016-02-12 23:00:00;-6.796329e-05
2016-02-13 00:00:00;-6.684935000000001e-05
2016-02-13 01:00:00;-6.62323e-05
2016-02-13 02:00:00;-6.590493000000001e-05
2016-02-13 03:00:00;-6.553694e-05
2016-02-13 04:00:00;-6.520159e-05
2016-02-13 05:00:00;-6.380536e-05
2016-02-13 06:00:00;-6.398129e-05
2016-02-13 07:00:00;-6.371032000000001e-05
2016-02-13 08:00:00;-6.291336000000001e-05
2016-02-13 09:00:00;-6.164476000000001e-05
2016-02-13 10:00:00;-6.0146210000000004e-05
2016-02-13 11:00:00;-5.892654000000001e-05
2016-02-13 12:00:00;-5.7934100000000005e-05
2016-02-13 13:00:00;-5.696587000000001e-05
2016-02-13 14:00:00;-5.5838910000000006e-05
2016-02-13 15:00:00;-5.4887380000000004e-05
2016-02-13 16:00:00;-5.385505000000001e-05
2016-02-13 17:00:00;-5.238386000000001e-05
2016-02-13 18:00:00;-5.1458730000000005e-05
2016-02-13 19:00:00;-4.992335e-05
2016-02-13 20:00:00;-4.796525e-05
2016-02-13 21:00:00;-4.5750250000000005e-05
2016-02-13 22:00:00;-4.312504e-05
2016-02-13 23:00:00;-4.073983000000001e-05
2016-02-14 00:00:00;-3.837951e-05
2016-02-14 01:00:00;-3.6255680000000005e-05
2016-02-14 02:00:00;-3.4264630000000006e-05
2016-02-14 03:00:00;-3.224771e-05
2016-02-14 04:00:00;-2.9923740000000002e-05
2016-02-14 05:00:00;-2.8177910000000004e-05
2016-02-14 06:00:00;-2.585758e-05
2016-02-14 07:00:00;-2.357487e-05
2016-02-14 08:00:00;-2.161942e-05
2016-02-14 09:00:00;-1.9896360000000002e-05
2016-02-14 10:00:00;-1.875013e-05
2016-02-14 11:00:00;-1.823108e-05
2016-02-14 12:00:00;-1.79131e-05
2016-02-14 13:00:00;-1.749273e-05
2016-02-14 14:00:00;-1.6938470000000002e-05
2016-02-14 15:00:00;-1.6303810000000002e-05
2016-02-14 16:00:00;-1.586892e-05
2016-02-14 17:00:00;-1.460519e-05
