Type of System,Count
"intensification, mature, decay",9832
"intensification, mature, decay, intensification 2, mature 2, decay 2",802
"incipient, intensification, decay",62
"intensification, mature",224
intensification,530
"intensification, incipient",36
"incipient, intensification, mature, decay",750
"decay, intensification",144
decay,138
"intensification, mature, decay, incipient",148
"intensification, decay",428
"intensification, decay, intensification 2",16
"decay, incipient, decay 2",20
"intensification, mature, incipient, intensification 2, mature 2, decay",78
"intensification, mature, decay, intensification 2, decay 2",12
"intensification, decay, intensification 2, decay 2",36
"mature, decay",36
"intensification, mature, incipient",10
"incipient, decay, intensification",16
"decay, intensification, decay 2",32
"incipient, decay",30
"intensification, mature, intensification 2",16
"intensification, mature, decay, incipient, intensification 2, mature 2, decay 2",2
"incipient, intensification",10
"intensification, mature, intensification 2, mature 2",2
"intensification, decay, incipient",6
"intensification, decay, intensification 2, mature, decay 2",30
"intensification, incipient, decay, incipient 2, decay 2",2
"decay, intensification, decay 2, intensification 2",8
"intensification, incipient, intensification 2, mature",2
"decay, intensification, incipient, intensification 2, decay 2",2
"intensification, incipient, intensification 2, mature, decay",26
"intensification, incipient, decay",4
"mature, decay, intensification, decay 2",2
"intensification, decay, incipient, decay 2",4
"intensification, mature, intensification 2, residual 2",2
"incipient, intensification, mature",4
,2
"intensification, mature, incipient, mature 2, decay",4
"incipient, mature, decay",2
"intensification, mature, intensification 2, mature 2, decay",4
"intensification, decay, mature, decay 2",2
"incipient, decay, intensification, decay 2",2
"incipient, intensification, mature, decay, intensification 2, mature 2, decay 2",2
"intensification, incipient, mature, decay",2
"incipient, decay, incipient 2, decay 2",2
"intensification, incipient, intensification 2",2
"decay, intensification, mature, decay 2",2
