Type of System
"decay, intensification"
"incipient, intensification, mature, decay, residual"
"decay, residual"
"incipient, intensification, mature, decay"
decay
"incipient, decay, intensification"
"decay, intensification, decay 2, intensification 2"
"intensification, mature, decay, residual"
