,start,end
incipient,1980-11-20 06:00:00,1980-11-20 11:00:00
intensification,1980-11-20 12:00:00,1980-11-21 02:00:00
mature,1980-11-21 03:00:00,1980-11-21 06:00:00
decay,1980-11-21 07:00:00,1980-11-21 17:00:00
residual,1980-11-21 18:00:00,1980-11-21 19:00:00
