,start,end
incipient,2008-07-18 23:00:00,2008-07-19 09:00:00
decay,2008-07-19 10:00:00,2008-07-21 20:00:00
intensification,2008-07-21 21:00:00,2008-07-24 11:00:00
mature,2008-07-24 12:00:00,2008-07-25 02:00:00
decay 2,2008-07-25 03:00:00,2008-07-26 16:00:00
residual,2008-07-26 17:00:00,2008-07-28 04:00:00
