Region,Season,mean_decay,mean_decay 2,mean_incipient,mean_incipient 2,mean_intensification,mean_intensification 2,mean_mature,mean_mature 2,mean_residual,std_decay,std_decay 2,std_incipient,std_incipient 2,std_intensification,std_intensification 2,std_mature,std_mature 2,std_residual
Total,DJF,30.15629742033384,22.851439790575917,6.362295376866343,8.0,26.232355829942474,24.414141414141415,7.947191183223634,7.146010186757215,15.099252934898612,25.155920824215027,19.380336189049036,6.810633700189965,,20.66796844963716,18.342445067681084,5.8310671663566715,4.824371786663053,16.354047875676837
Total,JJA,30.94296003717472,23.721724524076148,6.333132711405357,45.5,25.96006635857329,25.755029585798816,8.062612035851473,7.331499312242091,14.652057245080501,25.840932728387745,20.700487782835463,6.583062428466545,3.5355339059327378,20.927202409941543,19.593749944231867,5.9837401090557245,5.122885059244807,16.155124530129985
ARG,DJF,34.62770562770563,28.404761904761905,6.795315682281059,,29.31636060100167,28.637795275590552,9.03475935828877,8.070175438596491,14.899280575539569,29.019803096638846,23.815216314085493,6.94318419610031,,20.538959847630398,19.536562910059374,6.280795274638003,5.225396285510827,16.445912651991637
ARG,JJA,33.39569049951029,25.151898734177216,6.620892018779343,,29.110377358490567,26.71698113207547,8.888663967611336,8.627659574468085,13.991596638655462,27.48190386842816,19.86264208286433,6.431282620763791,,21.745894641457543,19.620084324356984,6.038357049947586,5.6530209690406,15.707871177236798
LA-PLATA,DJF,41.958217270194986,31.658536585365855,8.750830564784053,,38.33064516129032,30.608695652173914,12.422287390029325,8.651162790697674,21.13953488372093,37.40045907087823,22.635173934974436,7.260925627943683,,26.81605156776572,20.05933228186329,7.383047078559291,5.4593027678416455,24.173560325821576
LA-PLATA,JJA,42.246127366609294,32.45255474452555,9.237995824634655,,38.37542087542087,31.857142857142858,11.285714285714286,8.594936708860759,20.433734939759034,33.55144798218088,24.923108460564354,7.652339658629156,,25.080150813561644,19.26238788206449,7.238212579971113,5.157814552451584,23.12858687862397
SE-BR,DJF,33.828828828828826,27.574468085106382,7.804093567251462,8.0,29.09049773755656,23.62,9.243718592964823,8.487179487179487,16.979166666666668,28.698596838108273,27.695148972261272,7.6633480943175165,,24.476578655922083,21.78830429569113,6.456863120071626,7.308509081423677,19.22375479002347
SE-BR,JJA,32.77142857142857,24.516129032258064,8.371929824561404,,30.20639534883721,28.851063829787233,8.937694704049845,7.857142857142857,15.08695652173913,25.127053325879423,25.6186976993222,9.987769887167092,,22.75361413193117,22.704125964242376,6.579027733563912,5.303341921851701,19.427158638195735
SE-SAO,DJF,30.421463414634147,21.48205128205128,6.22291407222914,,27.0183752417795,21.136986301369863,8.117773019271949,6.566666666666666,11.205607476635514,25.32946822866505,16.288425967932586,5.962591026304865,,18.777307339704638,14.677377782466941,5.699800204080049,4.264026372333407,13.561695723657701
SE-SAO,JJA,30.717842323651453,24.641025641025642,6.36734693877551,,25.939518900343643,24.049586776859503,8.293302540415704,6.719626168224299,13.524096385542169,25.526577230388632,23.769482760651297,5.81645842444762,,18.991467671959864,17.581643476302883,5.867912518798786,4.524137346152959,13.98254401235055
AT-PEN,DJF,29.650969529085874,20.0,5.42962962962963,,22.064245810055866,33.607142857142854,7.15929203539823,7.653846153846154,16.097560975609756,23.75196027937395,12.802587629069368,7.594304988858611,,17.747964916386945,25.13126912495045,4.928902271684042,4.542618695794818,15.127466539458583
AT-PEN,JJA,29.093434343434343,25.47945205479452,4.771523178807947,,22.470588235294116,27.26086956521739,6.825268817204301,7.466666666666667,12.545454545454545,20.86506030648238,16.9780164960466,5.050323202491805,,16.496107681130447,17.86546610718716,4.558586126718716,4.979959839195493,11.324863144979956
WEDDELL,DJF,27.361607142857142,21.532258064516128,7.010989010989011,,31.4070796460177,28.804878048780488,7.9523809523809526,7.184210526315789,23.853658536585368,18.799593286010488,11.54991695653275,7.14953849377089,,27.631427250109105,22.41006415898348,5.176096980339019,4.996513720574197,21.42027191191764
WEDDELL,JJA,26.282651072124757,23.73873873873874,6.712871287128713,,28.742248062015506,28.67142857142857,7.7053941908713695,7.095238095238095,26.092307692307692,17.277040377567268,14.929964812545583,7.839375872335702,,24.483746104016,23.063065037936724,5.394261595464091,4.002879148145042,23.124475046016634
SA-NAM,DJF,25.602459016393443,18.76388888888889,6.545454545454546,,26.666666666666668,14.25,7.6591928251121075,5.0588235294117645,19.608695652173914,21.483502956411677,19.168998633397592,6.455123678201664,,21.548906512879643,6.992231714397493,6.055337402428174,3.561435599503628,19.64968561905091
SA-NAM,JJA,24.8,17.319148936170212,6.915129151291513,,24.879310344827587,18.545454545454547,7.012012012012012,5.054054054054054,12.819444444444445,20.76019444399391,14.72779010640903,7.253874563773615,,19.99473497229564,16.39122644708889,5.166490720140806,4.421826834301922,10.620636819304872
