track_id,phase,Total Distance (km),Total Time (Hours),Mean Speed (m/s),Region,Season
20051139,decay,2538.327603956848,22.0,32.0495909590511,Total,Total
20051139,intensification,2535.9951211133666,35.0,20.12694540566164,Total,Total
20051139,mature,394.7745587802405,3.0,36.55319988705931,Total,Total
20051144,intensification,389.09483749244725,19.0,5.688521015971451,Total,Total
20051150,decay,1883.775646902369,31.0,16.879710097691486,Total,Total
20051150,decay 2,651.6115731760606,8.0,22.625401846391,Total,Total
20051150,incipient,58.930622572127305,1.0,16.369617381146476,Total,Total
20051150,intensification,3955.150068860545,57.0,19.27461047202995,Total,Total
20051150,mature,411.109911406749,7.0,16.313885373283693,Total,Total
20051154,decay,3286.4662578625107,31.0,29.448622382280565,Total,Total
20051154,decay 2,1182.293665351533,8.0,41.051863380261565,Total,Total
20051154,incipient,692.9506202829233,13.0,14.80663718553255,Total,Total
20051154,intensification,6266.413273132669,96.0,18.13198285049962,Total,Total
20051154,mature,733.2539870866013,7.0,29.09738043994449,Total,Total
20051155,decay,2694.727110273855,44.0,17.012166100213733,Total,Total
20051155,decay 2,404.9288567744734,8.0,14.06002974911366,Total,Total
20051155,incipient,1563.9468100315732,13.0,33.41766688101652,Total,Total
20051155,intensification,9951.015375313356,118.0,23.42517743717833,Total,Total
20051155,mature,1326.1675972339622,17.0,21.66940518356148,Total,Total
20051156,intensification,379.6551842770224,12.0,8.788314450857,Total,Total
20051158,decay,1455.516042868939,31.0,13.042258448646407,Total,Total
20051158,decay 2,379.4128713662696,8.0,13.174058033551026,Total,Total
20051158,incipient,504.8407017875117,10.0,14.02335282743088,Total,Total
20051158,intensification,3638.6332162869394,90.0,11.23034943298438,Total,Total
20051158,mature,983.486069144283,7.0,39.02722496604297,Total,Total
20051159,decay,3503.8802005405773,31.0,31.396775990506967,Total,Total
20051159,decay 2,997.7241097888412,8.0,34.643198256556985,Total,Total
20051159,incipient,1011.7369818845964,8.0,35.12975631543737,Total,Total
20051159,intensification,9388.526087043478,66.0,39.51399868284292,Total,Total
20051159,mature,1002.0203884660446,7.0,39.76271382801764,Total,Total
20060001,decay,1209.6696973501887,22.0,15.27360728977511,Total,Total
20060001,intensification,1488.8827934645046,32.0,12.92432980437938,Total,Total
20060001,mature,53.51559511664732,3.0,4.955147695985863,Total,Total
20060002,decay,546.6953561752316,22.0,6.902719143626662,Total,Total
20060002,decay 2,214.5044469973222,8.0,7.44807107629591,Total,Total
20060002,incipient,28.97826639040896,1.0,8.049518441780267,Total,Total
20060002,intensification,1247.6500531744664,46.0,7.534118678589773,Total,Total
20060002,mature,22.82459972087097,3.0,2.1133888630436086,Total,Total
20060003,decay,4451.937123098454,62.0,19.94595485259164,Total,Total
20060003,decay 2,328.33643267708027,8.0,11.400570579065288,Total,Total
20060003,incipient,1118.5446097578763,13.0,23.90052584952727,Total,Total
20060003,intensification,9026.088460247724,105.0,23.878540900126254,Total,Total
20060003,mature,1808.172302665189,17.0,29.545299063156687,Total,Total
20060004,decay,930.1759097379344,31.0,8.334909585465363,Total,Total
20060004,decay 2,138.779157499478,8.0,4.818720746509653,Total,Total
20060004,incipient,21.658230216965865,1.0,6.016175060268297,Total,Total
20060004,intensification,1013.421209563258,33.0,8.530481561980288,Total,Total
20060004,mature,294.71218200055904,7.0,11.694927857165045,Total,Total
20060005,decay,505.40004553938473,22.0,6.381313706305363,Total,Total
20060005,decay 2,256.0910520772662,8.0,8.892050419349522,Total,Total
20060005,incipient,28.12044356919472,1.0,7.81123432477631,Total,Total
20060005,intensification,283.42008823023366,12.0,6.560650190514668,Total,Total
20060005,mature,18.451325498708563,3.0,1.7084560646952374,Total,Total
20060006,decay,582.6811584529969,17.0,9.520933961650275,Total,Total
20060006,decay 2,162.6024457686452,8.0,5.645918255855737,Total,Total
20060006,incipient,4.983365608782758,1.0,1.3842682246618772,Total,Total
20060006,intensification,287.88985215681816,8.0,9.996175422111742,Total,Total
20060007,decay,966.473671773141,14.0,19.17606491613375,Total,Total
20060007,decay 2,743.2661029896758,8.0,25.80785079825264,Total,Total
20060007,incipient,133.68241133365032,1.0,37.13400314823621,Total,Total
20060007,intensification,1742.573766820193,20.0,24.20241342805824,Total,Total
20060007,mature,488.322567457844,4.0,33.91128940679472,Total,Total
20060008,decay 2,179.4049196092432,8.0,6.229337486432056,Total,Total
20060008,incipient,18.551463938791343,1.0,5.15318442744204,Total,Total
20060008,intensification,848.2837782134608,17.0,13.860846049239557,Total,Total
20060008,mature,93.27516955320738,2.0,12.954884660167693,Total,Total
20060009,decay,719.7718360617727,40.0,4.998415528206754,Total,Total
20060009,decay 2,109.13348644925212,8.0,3.78935716837681,Total,Total
20060009,incipient,270.98540300236687,13.0,5.790286388939464,Total,Total
20060009,intensification,1686.366988834931,84.0,5.576610412813925,Total,Total
20060009,mature,222.12591026632376,14.0,4.407260124331821,Total,Total
20060010,decay,307.4096133451195,9.0,9.487951029170356,Total,Total
20060010,incipient,0.0,0.0,,Total,Total
20060010,intensification,468.0551861419596,13.0,10.001179191067513,Total,Total
20060010,mature,173.80182783649877,4.0,12.069571377534638,Total,Total
20060011,decay,225.6074556209691,9.0,6.963193074721268,Total,Total
20060011,intensification,692.1127510241645,12.0,16.021128495929734,Total,Total
20060011,mature,200.72812717755667,4.0,13.939453276219211,Total,Total
20060012,decay,764.4828122758911,9.0,23.59514852703368,Total,Total
20060012,incipient,520.3845141220836,10.0,14.4551253922801,Total,Total
20060012,intensification,1802.2170338289184,42.0,11.919424826910836,Total,Total
20060012,mature,0.0,0.0,,Total,Total
