,Type of System,Total Count,Percentage
5,"incipient, intensification, mature, decay",28782,58.55117277295197
8,"intensification, mature, decay",3689,7.504526313648107
4,"incipient, decay, intensification, mature, decay 2",3325,6.764041743800477
6,"incipient, intensification, mature, decay, intensification 2, mature 2, decay 2",2413,4.908761722643774
2,"decay, intensification, mature, decay 2",2156,4.385947067559045
9,"intensification, mature, decay, intensification 2, mature 2, decay 2",2046,4.162174257989706
0,decay,1807,3.675976971743597
7,intensification,1150,2.339443009133999
1,"decay, intensification",698,1.419940191630897
3,"incipient, decay",583,1.185995890717497
