Type of System,Total Count,Percentage
"incipient, intensification, mature, decay",3895,51.35135135135135
"incipient, decay, intensification, mature, decay 2",480,6.328279499011207
"decay, intensification, mature, decay 2",292,3.8497033618984835
"decay, intensification",113,1.4897824653922216
"incipient, decay",103,1.3579433091628215
"intensification, mature, decay",422,5.563612392880685
"incipient, intensification, mature, decay, intensification 2, mature 2, decay 2",335,4.4166117336849045
intensification,221,2.913645352669743
"incipient, intensification, mature, decay, residual",591,7.791694133157548
decay,296,3.902439024390244
"incipient, intensification, decay, intensification 2",32,0.4218852999340804
"intensification, mature, decay, residual",158,2.0830586684245223
"incipient, decay, residual",6,0.07910349373764008
"decay, intensification, mature, decay 2, residual",45,0.5932762030323006
"incipient, intensification, decay, intensification 2, mature, decay 2",40,0.5273566249176005
"incipient, decay, intensification, decay 2",19,0.2504943968358602
"intensification, mature, decay, intensification 2, mature 2, decay 2",282,3.7178642056690836
"decay, intensification, decay 2",23,0.30323005932762026
"decay, residual",16,0.2109426499670402
"intensification, residual",33,0.4350692155570204
"incipient, decay, intensification",41,0.5405405405405406
"incipient, decay, intensification, mature, decay 2, residual",29,0.38233355306526035
"decay, intensification, residual",16,0.2109426499670402
"incipient, intensification, decay, intensification 2, decay 2",16,0.2109426499670402
"intensification, incipient, decay",4,0.05273566249176005
"incipient, intensification",6,0.07910349373764008
"incipient, decay, intensification, mature, decay 2, intensification 2, mature 2",4,0.05273566249176005
"decay, intensification, decay 2, intensification 2",11,0.14502307185234015
"incipient, decay, intensification, residual",6,0.07910349373764008
"intensification, mature, decay, intensification 2, mature 2, decay 2, residual",9,0.11865524060646013
"decay, intensification, mature, decay 2, intensification 2, mature 2",10,0.13183915622940012
"incipient, intensification, decay, intensification 2, decay 2, residual",1,0.013183915622940013
"incipient, decay, intensification, incipient 2, decay 2",1,0.013183915622940013
"incipient, decay, intensification, decay 2, residual",1,0.013183915622940013
"incipient, intensification, decay, intensification 2, mature, decay 2, residual",5,0.06591957811470006
"decay, intensification, decay 2, intensification 2, residual",3,0.03955174686882004
"incipient, intensification, mature, decay, intensification 2, mature 2, decay 2, residual",5,0.06591957811470006
"incipient, intensification, residual",1,0.013183915622940013
"incipient, decay, intensification, decay 2, intensification 2, mature",1,0.013183915622940013
"decay, intensification, decay 2, intensification 2, mature",1,0.013183915622940013
"incipient, intensification, decay, intensification 2, residual",7,0.0922874093605801
"incipient, decay, incipient 2, intensification, mature, decay 2",1,0.013183915622940013
"decay, intensification, residual, intensification 2",2,0.026367831245880026
"intensification, decay",1,0.013183915622940013
"incipient, decay, intensification, decay 2, intensification 2",1,0.013183915622940013
