,Ck,Ca,Ke,Ge
intensification,-2.0028457081239166,1.4464427719012927,199463.45371415326,1.4497099978812704
mature,-10.265190691602148,4.661156581410468,533407.1928416372,6.907047330871336
decay,-3.805310192681989,1.2875585973566306,646967.6085438996,1.497835371408319
residual,-0.66334406096265,-0.053055063887049725,125832.77703898452,-0.09386167136725909
