,start,end
intensification,2018-10-25 02:00:00,2018-10-27 06:00:00
mature,2018-10-21 20:00:00,2018-10-24 11:00:00
mature 2,2018-10-26 19:00:00,2018-10-30 05:00:00
decay,2018-10-24 00:00:00,2018-10-25 14:00:00
decay 2,2018-10-29 18:00:00,2018-10-31 17:00:00
