,start,end
intensification,2019-06-29 08:00:00,2019-06-29 22:00:00
mature,2019-06-29 23:00:00,2019-06-30 03:00:00
decay,2019-06-30 04:00:00,2019-06-30 18:00:00
intensification 2,2019-06-30 19:00:00,2019-07-01 16:00:00
mature 2,2019-07-01 17:00:00,2019-07-01 22:00:00
decay 2,2019-07-01 23:00:00,2019-07-02 15:00:00
