,start,end
incipient,1991-12-03 10:00:00,1991-12-03 18:00:00
intensification,1991-12-03 19:00:00,1991-12-04 23:00:00
mature,1991-12-05 00:00:00,1991-12-05 12:00:00
decay,1991-12-05 13:00:00,1991-12-07 13:00:00
