incipient,intensification,mature,decay
2018-01-15 04:00:00,2018-01-16 20:00:00,2018-01-20 06:00:00,2018-01-21 14:00:00
2018-01-16 19:00:00,2018-01-20 05:00:00,2018-01-21 13:00:00,2018-01-24 01:00:00
