intensification,mature,decay,intensification 2,mature 2,decay 2
2016-12-15 17:00:00,2016-12-17 03:00:00,2016-12-17 23:00:00,2016-12-19 08:00:00,2016-12-20 14:00:00,2016-12-21 04:00:00
2016-12-17 02:00:00,2016-12-17 22:00:00,2016-12-19 07:00:00,2016-12-20 13:00:00,2016-12-21 03:00:00,2016-12-22 09:00:00
