intensification,mature,decay,intensification 2,mature 2,decay 2
1999-01-08 23:00:00,1999-01-10 21:00:00,1999-01-11 15:00:00,1999-01-12 18:00:00,1999-01-14 09:00:00,1999-01-15 07:00:00
1999-01-10 20:00:00,1999-01-11 14:00:00,1999-01-12 17:00:00,1999-01-14 08:00:00,1999-01-15 06:00:00,1999-01-17 09:00:00
