incipient,intensification,mature,decay
2003-11-13 11:00:00,2003-11-17 07:00:00,2003-11-19 10:00:00,2003-11-21 00:00:00
2003-11-17 06:00:00,2003-11-19 09:00:00,2003-11-20 23:00:00,2003-11-25 05:00:00
