intensification,mature,decay,residual
1994-02-27 02:00:00,1994-02-28 02:00:00,1994-02-28 18:00:00,1994-03-02 03:00:00
1994-02-28 01:00:00,1994-02-28 17:00:00,1994-03-02 02:00:00,1994-03-02 21:00:00
