incipient,intensification,mature,decay,residual
1981-10-26 07:00:00,1981-10-26 13:00:00,1981-10-27 03:00:00,1981-10-27 14:00:00,1981-10-28 15:00:00
1981-10-26 12:00:00,1981-10-27 02:00:00,1981-10-27 13:00:00,1981-10-28 14:00:00,1981-10-30 09:00:00
