intensification,decay,intensification 2,decay 2,residual
2006-04-24 10:00:00,2006-04-24 20:00:00,2006-04-25 02:00:00,2006-04-25 12:00:00,2006-04-25 18:00:00
2006-04-24 15:00:00,2006-04-25 01:00:00,2006-04-25 07:00:00,2006-04-25 17:00:00,2006-04-26 03:00:00
