incipient,intensification,mature,decay
2009-09-25 13:00:00,2009-09-25 19:00:00,2009-09-26 06:00:00,2009-09-26 12:00:00
2009-09-25 18:00:00,2009-09-26 05:00:00,2009-09-26 11:00:00,2009-09-27 00:00:00
