incipient,intensification,mature,decay
1990-10-30 22:00:00,1990-11-01 10:00:00,1990-11-04 03:00:00,1990-11-05 03:00:00
1990-11-01 09:00:00,1990-11-04 02:00:00,1990-11-05 02:00:00,1990-11-07 04:00:00
