intensification,mature,decay,incipient
1987-12-03 13:00:00,1987-12-05 14:00:00,1987-12-06 08:00:00,1987-12-07 10:00:00
1987-12-05 13:00:00,1987-12-06 07:00:00,1987-12-07 09:00:00,1987-12-09 15:00:00
