intensification,mature,decay,intensification 2,mature 2,decay 2
2016-09-19 11:00:00,2016-09-20 13:00:00,2016-09-21 05:00:00,2016-09-22 10:00:00,2016-09-23 20:00:00,2016-09-24 07:00:00
2016-09-20 12:00:00,2016-09-21 04:00:00,2016-09-22 09:00:00,2016-09-23 19:00:00,2016-09-24 06:00:00,2016-09-25 02:00:00
