intensification,mature,decay,intensification 2,mature 2,decay 2
2013-09-20 00:00:00,2013-09-21 07:00:00,2013-09-21 18:00:00,2013-09-22 06:00:00,2013-09-23 14:00:00,2013-09-24 01:00:00
2013-09-21 06:00:00,2013-09-21 17:00:00,2013-09-22 05:00:00,2013-09-23 13:00:00,2013-09-24 00:00:00,2013-09-24 21:00:00
