incipient,intensification,mature,decay
2017-01-10 08:00:00,2017-01-13 08:00:00,2017-01-16 20:00:00,2017-01-18 06:00:00
2017-01-13 07:00:00,2017-01-16 19:00:00,2017-01-18 05:00:00,2017-01-21 04:00:00
