incipient,intensification,mature,decay
2000-05-10 04:00:00,2000-05-10 13:00:00,2000-05-12 17:00:00,2000-05-13 14:00:00
2000-05-10 12:00:00,2000-05-12 16:00:00,2000-05-13 13:00:00,2000-05-15 10:00:00
