incipient,intensification,mature,decay
2004-08-16 06:00:00,2004-08-19 01:00:00,2004-08-21 20:00:00,2004-08-23 03:00:00
2004-08-19 00:00:00,2004-08-21 19:00:00,2004-08-23 02:00:00,2004-08-25 17:00:00
