intensification,mature,decay,intensification 2,mature 2,decay 2
1983-08-16 19:00:00,1983-08-17 17:00:00,1983-08-18 02:00:00,1983-08-18 12:00:00,1983-08-19 16:00:00,1983-08-20 03:00:00
1983-08-17 16:00:00,1983-08-18 01:00:00,1983-08-18 11:00:00,1983-08-19 15:00:00,1983-08-20 02:00:00,1983-08-21 01:00:00
