intensification,mature,decay,intensification 2,mature 2,decay 2
1985-07-30 04:00:00,1985-07-30 15:00:00,1985-07-30 23:00:00,1985-07-31 14:00:00,1985-08-01 04:00:00,1985-08-01 11:00:00
1985-07-30 14:00:00,1985-07-30 22:00:00,1985-07-31 13:00:00,1985-08-01 03:00:00,1985-08-01 10:00:00,1985-08-02 00:00:00
