intensification,mature,decay,intensification 2,mature 2,decay 2
2005-04-27 03:00:00,2005-04-27 11:00:00,2005-04-27 16:00:00,2005-04-27 23:00:00,2005-04-28 04:00:00,2005-04-28 09:00:00
2005-04-27 10:00:00,2005-04-27 15:00:00,2005-04-27 22:00:00,2005-04-28 03:00:00,2005-04-28 08:00:00,2005-04-28 18:00:00
