intensification,mature,decay,intensification 2,mature 2,decay 2
1987-12-18 05:00:00,1987-12-18 13:00:00,1987-12-18 18:00:00,1987-12-19 02:00:00,1987-12-19 11:00:00,1987-12-19 18:00:00
1987-12-18 12:00:00,1987-12-18 17:00:00,1987-12-19 01:00:00,1987-12-19 10:00:00,1987-12-19 17:00:00,1987-12-20 09:00:00
