intensification,mature,decay,intensification 2,mature 2,decay 2
1998-10-10 07:00:00,1998-10-11 17:00:00,1998-10-12 09:00:00,1998-10-13 07:00:00,1998-10-14 05:00:00,1998-10-14 20:00:00
1998-10-11 16:00:00,1998-10-12 08:00:00,1998-10-13 06:00:00,1998-10-14 04:00:00,1998-10-14 19:00:00,1998-10-16 05:00:00
