incipient,intensification,mature,decay
1992-05-26 00:00:00,1992-05-26 15:00:00,1992-05-27 04:00:00,1992-05-27 11:00:00
1992-05-26 14:00:00,1992-05-27 03:00:00,1992-05-27 10:00:00,1992-05-28 04:00:00
