intensification,incipient,intensification 2,mature,decay
1985-09-23 03:00:00,1985-09-26 16:00:00,1985-09-27 11:00:00,1985-09-30 03:00:00,1985-10-01 04:00:00
1985-09-26 15:00:00,1985-09-27 10:00:00,1985-09-30 02:00:00,1985-10-01 03:00:00,1985-10-03 06:00:00
