intensification,mature,decay,residual
1993-06-13 10:00:00,1993-06-14 02:00:00,1993-06-14 08:00:00,1993-06-14 19:00:00
1993-06-14 01:00:00,1993-06-14 07:00:00,1993-06-14 18:00:00,1993-06-15 06:00:00
