intensification,mature,decay,residual
2006-12-06 07:00:00,2006-12-08 23:00:00,2006-12-10 08:00:00,2006-12-13 00:00:00
2006-12-08 22:00:00,2006-12-10 07:00:00,2006-12-12 23:00:00,2006-12-16 13:00:00
