intensification,decay,intensification 2,decay 2
1993-04-24 20:00:00,1993-04-25 05:00:00,1993-04-25 11:00:00,1993-04-25 22:00:00
1993-04-25 00:00:00,1993-04-25 10:00:00,1993-04-25 17:00:00,1993-04-26 06:00:00
