intensification,mature,decay,residual
1991-09-08 16:00:00,1991-09-09 14:00:00,1991-09-10 00:00:00,1991-09-10 12:00:00
1991-09-09 13:00:00,1991-09-09 23:00:00,1991-09-10 11:00:00,1991-09-12 06:00:00
