intensification,mature,decay,intensification 2,decay 2
2007-01-26 10:00:00,2007-01-26 17:00:00,2007-01-26 22:00:00,2007-01-27 04:00:00,2007-01-27 20:00:00
2007-01-26 16:00:00,2007-01-26 21:00:00,2007-01-27 03:00:00,2007-01-27 15:00:00,2007-01-28 02:00:00
