incipient,intensification,mature,decay
1985-05-01 17:00:00,1985-05-02 10:00:00,1985-05-04 11:00:00,1985-05-05 00:00:00
1985-05-02 09:00:00,1985-05-04 10:00:00,1985-05-04 23:00:00,1985-05-05 13:00:00
