intensification,mature,decay,residual
2006-06-13 23:00:00,2006-06-15 10:00:00,2006-06-15 23:00:00,2006-06-16 22:00:00
2006-06-15 09:00:00,2006-06-15 22:00:00,2006-06-16 21:00:00,2006-06-17 16:00:00
