intensification,decay,intensification 2,mature,decay 2
1986-11-18 03:00:00,1986-11-18 15:00:00,1986-11-18 21:00:00,1986-11-19 04:00:00,1986-11-19 10:00:00
1986-11-18 10:00:00,1986-11-18 20:00:00,1986-11-19 03:00:00,1986-11-19 09:00:00,1986-11-19 21:00:00
