incipient,intensification,mature,decay,residual
1987-01-04 12:00:00,1987-01-04 23:00:00,1987-01-06 05:00:00,1987-01-06 13:00:00,1987-01-07 01:00:00
1987-01-04 22:00:00,1987-01-06 04:00:00,1987-01-06 12:00:00,1987-01-07 00:00:00,1987-01-07 19:00:00
