intensification,mature,decay,incipient
2019-03-09 14:00:00,2019-03-10 03:00:00,2019-03-10 21:00:00,2019-03-12 15:00:00
2019-03-10 02:00:00,2019-03-10 20:00:00,2019-03-12 14:00:00,2019-03-14 18:00:00
