intensification,mature,decay,residual
2006-11-15 10:00:00,2006-11-16 08:00:00,2006-11-16 22:00:00,2006-11-17 20:00:00
2006-11-16 07:00:00,2006-11-16 21:00:00,2006-11-17 19:00:00,2006-11-18 12:00:00
