intensification,incipient,intensification 2,mature
2011-05-14 04:00:00,2011-05-16 13:00:00,2011-05-16 20:00:00,2011-05-17 06:00:00
2011-05-16 12:00:00,2011-05-16 19:00:00,2011-05-17 05:00:00,2011-05-17 15:00:00
