incipient,intensification,mature,decay
2012-12-20 02:00:00,2012-12-22 04:00:00,2012-12-23 21:00:00,2012-12-24 13:00:00
2012-12-22 03:00:00,2012-12-23 20:00:00,2012-12-24 12:00:00,2012-12-25 20:00:00
